;7.5.;14.5.;21.5.;27.5.;4.6.;5.6.;11.6.;24.6.;2.7.;16.7.;23.7.;13.8.;19.8.;20.8.;26.8.;27.8.;2.9.;3.9.;17.9.;24.9.
Pon de Replay (Radio Edit);0;1;0;1;0;1;0;0;0;0;1;0;0;0;0;1;1;0;1;1
Yeah! (feat. Lil Jon & Ludacris);0;1;0;1;1;0;0;0;1;1;0;1;1;0;1;1;1;0;0;0
Augenbling;0;1;0;1;1;0;0;0;1;1;1;1;1;0;1;1;1;0;1;0
Ginza [Champeta];0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hola Señorita (Robin Schulz Remix);0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Se Prende;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Black Panther (feat. Rafal);0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Mon Amour (Remix);0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Estoy Aqui [Samba 58 TPM];0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ella Y Tu [Barranquilla];0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa' Otro La'o;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Tiburon;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Musica;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa' Calor;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
El Matador;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
La Bamba;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Borriquito;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
I Like It Like That;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bang! Bang!;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Taka Taka;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Soy (Album Version);0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Loco (Original Version);0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
San Dunga;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Loco Contigo;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Liar;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Sobrio;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Flasheaste Amor;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Du Hast;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Tainted Love (Album Version);0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
I'm So Excited;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Chelsea Dagger;0;1;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;1
Mr. Brightside (Album Version);0;1;0;0;1;0;0;0;0;0;0;0;1;1;1;0;0;0;1;1
Rock & Roll Queen;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;1
Rose Tattoo;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Yellow submarine;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Bohemian Rhapsody;0;1;1;0;1;0;1;0;1;0;1;1;1;0;0;0;0;0;1;1
Copacabana (At the Copa);0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
I Need to Know;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Smooth (feat. Rob Thomas);0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Señorita (feat. Camila Cabello);0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Salio El Sol (Album Version);0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Papi Chulo Te Traigo El Mmm;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Turn Me On;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Boombastic (7"" Original Edit)";0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Murder She Wrote;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Corazón;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
El Taxi;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
One Love / People Get Ready;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Mas Que Nada;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
99 Red Balloons;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fly Me To The Moon (live);0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Wade in the Water;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Beat It;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fille à papa;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
True Love [Langsamer Walzer 25 TPM];0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
You Are Everything;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Biggest Part Of Me;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Nothing Has Changed;0;0;1;0;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0
Feeling Good (Album Version);0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
You're The Best Thing (Album Version);0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
I Like London in the Rain;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Mama Can't Buy You Love;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Love Me Do;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bird Of Beauty;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sway (Rumba 24 TPM);0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
When Am I Going To Make A Living;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
I'm Not Moving;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Still Crazy After All These Years;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Aeo (Pts 1 & 2);0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Cecilia;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Nikita;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Diamond In The Dark;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Can't Help Falling in Love [Orginal Motion Soundtrack] [Wiener Walzer 68 TPM];0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Can You Feel The Love Tonight (aus: ""Der König der Löwen"")";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Only the Lonely;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kissing A Fool;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
's Wonderful;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Lucy In The Sky With Diamonds (Acoustic Version);0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bye Bye Blues;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Good Times;0;0;1;0;0;0;0;0;0;0;0;0;1;1;1;0;1;1;0;1
Kiss from a Rose (Acoustic Version);0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Love of My Life;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
The Lady In Red;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bridge Over Troubled Water;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Play the Game;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Michelle (2009 Digital Remaster);0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Nothing Can Come Between Us;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
(They Long To Be) Close To You;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Mockingbird Song;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hang on Little Tomato;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Am I the Same Girl;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Let's Do It;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
50 Ways to Leave Your Lover;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Your Love Is King;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0
Breezin';0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
The Look Of Love;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
I.G.Y.;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0
Quanto amore sei;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Killer Queen;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Diamonds On The Soles Of Her Shoes;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Tiny Dancer;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Un Cuore Con le Ali;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Alle Jläser huh;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Oh, Pretty Woman;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Blue Suede Shoes [Jive 42 TPM];0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0
Jailhouse Rock;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Mambo No. 5 (a Little Bit of...) (Extended Mix);0;0;1;1;1;0;0;0;1;0;1;1;1;0;0;0;1;1;1;1
La Bamba (live);0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Nutbush City Limits [Extended Disco Version] (Single A Side) (1973);0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Don't Stop Me Now;0;0;1;1;1;0;0;0;1;0;0;1;0;0;1;1;1;1;1;0
September;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Think;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Don't Let Me Be Misunderstood (Full Length Version);0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
I Am What I Am;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Easy Lover;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sweet Dreams (Are Made of This);0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Dä Plan;0;0;1;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0
Crazy Little Thing Called Love [Jive 38 TPM];0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Got My Mind Set On You;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Shout;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pata Pata;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
I'm Walkin';0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Reet Petite;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Tutti Frutti;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Su lang mer noch am Lääve sin;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Guten Morgen Barbarossaplatz;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Stadt met K;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Stääne;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
Dancing Queen;0;0;1;0;1;1;1;0;1;0;0;0;0;0;0;1;0;0;0;0
Irgendwie, irgendwo, irgendwann;0;0;1;1;1;0;0;1;0;1;1;0;0;0;0;0;1;0;1;0
Verdammt, ich lieb Dich;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
Mit 66 Jahren;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Über den Wolken;0;0;1;1;1;1;0;0;1;0;1;1;0;0;0;0;0;1;1;1
A far l'amore comincia tu (Liebelei);0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Azzurro (mono);0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Susanna (live);0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ain't No Mountain High Enough;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Twist and Shout;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Summertime Blues;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Lollipop;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Buona Sera;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
I Get Around;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Do You Love Me;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Fantasy (12"" Version Mastered)";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Thank You for the Music;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Trippin';0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Cool;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Black Hole Sun;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Got to Go Back;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
I Kissed a Girl;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Lucky (feat. Colbie Caillat);0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Day Dreaming;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Es glitzert;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
I Won't Settle For Less Than The Best (For You Baby);0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Caravan of Love [Rumba 22 TPM];0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Love's Theme (Alternate Version);0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
It Runs Through Me (feat. De La Soul);0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0
Tripping Out;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
In the Air Tonight;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0
Baby, Baby, Baby;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
La Fée;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
In diesem Moment (Radio Version);0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
I Took A Pill In Ibiza (Cover);0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
End Of The Road (Radio Edit With Acappella End);0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Endless Love [Rumba 25 TPM];0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
We're in This Love Together;0;0;0;1;1;0;0;0;1;0;1;0;1;0;0;0;1;0;0;1
These Are the Days;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Deiche;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ein ehrenwertes Haus;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Under the Boardwalk;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0
Darkness;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bergvagabunden;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
It Ain't Necessarily So (Cover) (Album Version);0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Shine On (Acoustic Version);0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Right to Be Wrong;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Everlasting Love;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
L-O-V-E (Love);0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Darlin' Darlin' Baby (Original Album Version);0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fallin' (Album Version);0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Super Duper Love (Are You Diggin' on Me?), Part 1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Crazy (Originally By Gnarls Barkley);0;0;0;1;0;0;0;0;0;1;0;1;1;0;1;1;0;0;0;0
Friends & Family;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sunny (ReverendP Edit);0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kim Sun;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
The Best Of My Love (V Loves To Do It edit);0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Show You My Robe (Dimitri From Brooklyn Edit);0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Love X Love (Steph Seroussi Revision Mix);0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Shift It Higher [J-ski Extended];0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Lotta Love (Joey Negro Yacht Disco Mix);0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"Number One (Instrumental (12"" Version)";0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0
"I Want Magic (Dimitri From Paris Vs. Cotonete 12"" Version)";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
On Tha 1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
I'll Be Around (Radio Edit);0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1
La Master (Rejazzcut);0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Moanin';0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;1
Hochzeitstanz Jojo&Conny;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Happy (from ""Despicable Me 2"") [Jive]";0;0;0;1;1;0;0;0;0;0;0;0;1;0;1;1;0;1;0;0
Jein;0;0;0;1;1;1;0;1;1;0;0;0;1;0;1;1;1;0;1;0
Klar (Album Version);0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;1;1;0;1;0
Crazy In Love (feat. Jay-Z) (Album Version);0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0
Dirrty;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
The Next Episode (feat. Nate Dogg & Snoop Dogg) (Album Version (Explicit));0;0;0;1;0;0;0;1;1;1;1;1;1;0;1;1;0;0;1;1
Who's That Girl? (Album Version With Horns (Explicit));0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
I Love Rock N' Roll;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;1
Radar Love;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Uptown Funk;0;0;0;1;1;1;0;0;0;0;1;1;1;0;0;1;0;0;0;0
Blurred Lines (Physical Version) [Cha-Cha 30 TPM];0;0;0;1;1;1;0;0;1;0;1;1;1;0;0;1;1;0;0;0
Sax;0;0;0;1;1;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0
Achterbahn (Afrojack Mash Up);0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Warum hast Du nicht nein gesagt (Club Mix);0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;1;1;1;1
Herzbeben (Extended Mix);0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
Hulapalu (DJ Fosco Extended Dance Mix);0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;1
Tage wie diese;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Ohne Dich (schlaf' ich heut' Nacht nicht ein);0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sternenhimmel;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0
"Soul With a Capital ""S""";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Get Up I Feel Like Being A Sex Machine (Undubbed Mix) (live);0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Respect;0;0;0;1;0;1;0;0;1;0;1;0;0;0;0;1;0;1;0;0
Sweet Soul music;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Tainted Love [Original Single Version];0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Gebt uns ruhig die Schuld (Den Rest könnt Ihr behalten);0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Einmal um die Welt;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ein Kompliment [Jive 40 TPM];0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Songs für Liam (feat. Casper);0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Hier kommt Alex;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Zu spät;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Whiskey In The Jar (Explicit Album Version);0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Like The Way I Do (Album Version);0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rosanna;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T.N.T.;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;1
Lords of the Boards;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Self-Esteem;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1
Toxicity (Album Version);0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pocahontas;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0
Ham kummst;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0
Tanz um Dein Leben (feat. La Brass Banda);0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Two Princes;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Nie mehr Fastelovend;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0
Can't Hold Us;0;0;0;1;0;0;0;0;0;0;0;1;1;0;1;1;1;0;1;1
Türlich Türlich (feat. Das Bo);0;0;0;1;0;0;0;0;1;0;0;0;1;0;1;0;0;0;1;1
Beat It (Single Version);0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Safari (Album Version);0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ooh Wee (feat. Ghostface Killah, Nate Dogg, Trife & Saigon);0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
How Gee (Sax Mix);0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
Rapper's Delight (Full Length Version);0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Don't Stop Believin' (Album Version);0;0;0;1;1;0;1;0;1;0;0;1;0;0;0;0;0;1;0;0
You Stepped into My Life;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
California Dreamin';0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Feels Like (feat. Brenda Boykin);0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Lola's Theme (Lola's Loungin' Mix);0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1
Sway [Cha-Cha 30 TPM];0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
True;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
It's A Beautiful Day;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Doodlin';0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Honey;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Nuit Magique;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0
Our Love Is Real;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Aeroplane (Original);0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Meet Me in the Moonlight (Janerio Mix);0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
Nova Do Brasil;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Don't You Worry Baby The Best Is Yet To Come (Instrumental Mix);0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
The Way You Make Me Feel;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
California Eagles (LUXXURY EDIT);0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
All that I Need;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Love's Theme;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0
Ain't That Love;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0
